ID	DOCULECT	CONCEPT	GLOSS_ID	VALUE	FORM	TOKENS
3856	大化岩滩	一 (十一)	380	ʔɪt⁵⁵	ʔɪt⁵⁵	ʔ ɪ t ⁵⁵
3857	大化流水	一 (十一)	380	ʔɪt⁵⁵	ʔɪt⁵⁵	ʔ ɪ t ⁵⁵
3858	都安高岭	一 (十一)	380	ʔɪt⁵⁵	ʔɪt⁵⁵	ʔ ɪ t ⁵⁵
3859	都安百旺	一 (十一)	380	ʔɪt⁵⁵	ʔɪt⁵⁵	ʔ ɪ t ⁵⁵
3860	上林塘红	一 (十一)	380	ʔjit⁵⁵	ʔjit⁵⁵	ʔ j i t ⁵⁵
3861	上林明亮	一 (十一)	380	ʔjɪt⁵⁵	ʔjɪt⁵⁵	ʔ j ɪ t ⁵⁵
3862	马山永州	一 (十一)	380	ʔit⁴⁴	ʔit⁴⁴	ʔ i t ⁴⁴
3863	马山白山	一 (十一)	380	ʔɪt⁵⁵	ʔɪt⁵⁵	ʔ ɪ t ⁵⁵
3864	忻城北更	一 (十一)	380	jɪt⁵⁵	jɪt⁵⁵	j ɪ t ⁵⁵
9152	兴宾迁江	一 (十一)	380	ʔɪt⁵⁵	ʔɪt⁵⁵	ʔ ɪ t ⁵⁵
9153	兴宾寺山	一 (十一)	380	ʔjɪt⁵⁵	ʔjɪt⁵⁵	ʔ j ɪ t ⁵⁵
9154	桂平石龙	一 (十一)	380	ʔɪt⁵⁵	ʔɪt⁵⁵	ʔ ɪ t ⁵⁵
9155	港北中里	一 (十一)	380	ʔit⁵⁵	ʔit⁵⁵	ʔ i t ⁵⁵
9156	武宣黄茆	一 (十一)	380	ʔɪt⁵⁵	ʔɪt⁵⁵	ʔ ɪ t ⁵⁵
9157	武宣桐岭	一 (十一)	380	ʔjɪt⁵⁵	ʔjɪt⁵⁵	ʔ j ɪ t ⁵⁵
9158	象州大乐	一 (十一)	380	ʔjɪt⁵⁵	ʔjɪt⁵⁵	ʔ j ɪ t ⁵⁵
9159	象州运江	一 (十一)	380	ʔɪt⁴⁵	ʔɪt⁴⁵	ʔ ɪ t ⁴⁵
9160	鹿寨四排	一 (十一)	380	ʔjɪt⁵⁵	ʔjɪt⁵⁵	ʔ j ɪ t ⁵⁵
9161	鹿寨鹿寨	一 (十一)	380	ʔɪt⁵⁵	ʔɪt⁵⁵	ʔ ɪ t ⁵⁵
987	大化岩滩	一*	099	ʔdɛːu⁴²	ʔdɛːu⁴²	ˀd ɛːu ⁴²
988	大化流水	一*	099	ʔdɛːu⁴²	ʔdɛːu⁴²	ˀd ɛːu ⁴²
989	都安高岭	一*	099	ʔdɛːu⁵³	ʔdɛːu⁵³	ˀd ɛːu ⁵³
990	都安百旺	一*	099	ʔdɛːu⁵³	ʔdɛːu⁵³	ˀd ɛːu ⁵³
991	上林塘红	一*	099	ʔjit⁵⁵, ʔdɛːu⁴⁵³	ʔjit⁵⁵	ʔ j i t ⁵⁵
992	上林塘红	一*	099	ʔjit⁵⁵, ʔdɛːu⁴⁵³	+ʔdɛːu⁴⁵³	ˀd ɛːu ⁴⁵³
993	上林明亮	一*	099	ʔdeau³⁵	ʔdeau³⁵	ˀd eau/eu ³⁵
994	马山永州	一*	099	ʔdeːu³³	ʔdeːu³³	ˀd eːu ³³
995	马山白山	一*	099	ʔdɛːu²⁴	ʔdɛːu²⁴	ˀd ɛːu ²⁴
996	忻城北更	一*	099	jɪt⁵⁵, ʔdeau⁴⁵³	jɪt⁵⁵	j ɪ t ⁵⁵
997	忻城北更	一*	099	jɪt⁵⁵, ʔdeau⁴⁵³	+ʔdeau⁴⁵³	ˀd eau/eu ⁴⁵³
998	忻城果邃	一*	099	ʔdeɜu⁴⁵³	ʔdeɜu⁴⁵³	ˀd eɜu/eu ⁴⁵³
6254	兴宾迁江	一*	099	ʔɪt⁵⁵	ʔɪt⁵⁵	ʔ ɪ t ⁵⁵
6255	兴宾寺山	一*	099	ʔjɪt⁵⁵	ʔjɪt⁵⁵	ʔ j ɪ t ⁵⁵
6256	桂平石龙	一*	099	ʔɪt⁵⁵	ʔɪt⁵⁵	ʔ ɪ t ⁵⁵
6257	港北中里	一*	099	ʔit⁵⁵	ʔit⁵⁵	ʔ i t ⁵⁵
6258	武宣黄茆	一*	099	ʔɪt⁵⁵	ʔɪt⁵⁵	ʔ ɪ t ⁵⁵
6259	武宣桐岭	一*	099	ʔjɪt⁵⁵	ʔjɪt⁵⁵	ʔ j ɪ t ⁵⁵
6260	象州大乐	一*	099	ʔjɪt⁵⁵, ʔdeːu⁵⁴ʔ	ʔjɪt⁵⁵	ʔ j ɪ t ⁵⁵
6261	象州大乐	一*	099	ʔjɪt⁵⁵, ʔdeːu⁵⁴ʔ	+ʔdeːu⁵⁴ʔ	ˀd eːu ⁵⁴ʔ/⁵⁴
6262	象州运江	一*	099	ʔɪt⁴⁵	ʔɪt⁴⁵	ʔ ɪ t ⁴⁵
6263	鹿寨四排	一*	099	ɗeːu⁵⁴ʔ	ɗeːu⁵⁴ʔ	ɗ eːu ⁵⁴ʔ/⁵⁴
6264	鹿寨鹿寨	一*	099	ɗɛ⁵⁴ʔ	ɗɛ⁵⁴ʔ	ɗ ɛ ⁵⁴ʔ/⁵⁴
1069	大化岩滩	一些*	107	ti⁴⁴ ʔdɛːu⁴²	ti⁴⁴+ʔdɛːu⁴²	t i ⁴⁴ + ˀd ɛːu ⁴²
1070	大化流水	一些*	107	ti⁴⁴	ti⁴⁴	t i ⁴⁴
1071	都安高岭	一些*	107	ti²² ȵɜt⁵⁵	ti²²+ȵɜt⁵⁵	t i ²² + ȵ ɜ t ⁵⁵
1072	都安百旺	一些*	107	ti³³ ʔdɛːu⁵³	ti³³+ʔdɛːu⁵³	t i ³³ + ˀd ɛːu ⁵³
1073	上林塘红	一些*	107	ʔjit⁵⁵ təi³³	ʔjit⁵⁵+təi³³	ʔ j i t ⁵⁵ + t əi ³³
1074	上林明亮	一些*	107	ȵɜt⁵⁵ ȵɐu³⁵	ȵɜt⁵⁵+ȵɐu³⁵	ȵ ɜ t ⁵⁵ + ȵ ɐu ³⁵
1075	马山永州	一些*	107	mi²¹ ʔbaːŋ³³	mi²¹+ʔbaːŋ³³	m i ²¹ + ˀb aː ŋ ³³
1076	马山白山	一些*	107	ti⁴⁴	ti⁴⁴	t i ⁴⁴
1077	忻城北更	一些*	107	təi⁴⁴	təi⁴⁴	t əi ⁴⁴
1078	忻城果邃	一些*	107	tɘi³³	tɘi³³	t ɘi ³³
6336	兴宾迁江	一些*	107	ʔɪt⁵⁵ təi⁵⁵³	ʔɪt⁵⁵+təi⁵⁵³	ʔ ɪ t ⁵⁵ + t əi ⁵⁵³
6337	兴宾寺山	一些*	107	ti⁵⁵	ti⁵⁵	t i ⁵⁵
6338	桂平石龙	一些*	107	ʔɪt³³ ti⁴⁵	ʔɪt³³+ti⁴⁵	ʔ ɪ t ³³ + t i ⁴⁵
6339	港北中里	一些*	107	ʔit³⁴ ti⁵⁵	ʔit³⁴+ti⁵⁵	ʔ i t ³⁴ + t i ⁵⁵
6340	武宣黄茆	一些*	107	ʔɪt⁵⁵ ti⁴⁵	ʔɪt⁵⁵+ti⁴⁵	ʔ ɪ t ⁵⁵ + t i ⁴⁵
6341	武宣桐岭	一些*	107	ʔjɪt⁵⁵ ti⁵⁵	ʔjɪt⁵⁵+ti⁵⁵	ʔ j ɪ t ⁵⁵ + t i ⁵⁵
6342	象州大乐	一些*	107	ʔjɪt⁵⁵ ti⁴⁵	ʔjɪt⁵⁵+ti⁴⁵	ʔ j ɪ t ⁵⁵ + t i ⁴⁵
6343	象州运江	一些*	107	ti⁵⁵ nɐi²¹⁴	ti⁵⁵+nɐi²¹⁴	t i ⁵⁵ + n ɐi ²¹⁴
6344	鹿寨四排	一些*	107	ʔi³³ ti⁴⁵	ʔi³³+ti⁴⁵	ʔ i ³³ + t i ⁴⁵
6345	鹿寨鹿寨	一些*	107	ti⁴⁵, ti⁴⁵ ki⁴⁵	ti⁴⁵	t i ⁴⁵
6346	鹿寨鹿寨	一些*	107	ti⁴⁵, ti⁴⁵ ki⁴⁵	+ti⁴⁵+ki⁴⁵	t i ⁴⁵ + k i ⁴⁵
3816	大化岩滩	七	376	ɕɐt⁵⁵	ɕɐt⁵⁵	ɕ ɐ t ⁵⁵
3817	大化流水	七	376	ɕɜt⁵⁵	ɕɜt⁵⁵	ɕ ɜ t ⁵⁵
3818	都安高岭	七	376	ɕɜt⁵⁵	ɕɜt⁵⁵	ɕ ɜ t ⁵⁵
3819	都安百旺	七	376	sɜt⁵⁵	sɜt⁵⁵	s ɜ t ⁵⁵
3820	上林塘红	七	376	ɕɛt⁵⁵	ɕɛt⁵⁵	ɕ ɛ t ⁵⁵
3821	上林明亮	七	376	sɐt⁵⁵	sɐt⁵⁵	s ɐ t ⁵⁵
3822	马山永州	七	376	ɕɛt⁴⁴	ɕɛt⁴⁴	ɕ ɛ t ⁴⁴
3823	马山白山	七	376	ɕɛt⁵⁵	ɕɛt⁵⁵	ɕ ɛ t ⁵⁵
3824	忻城北更	七	376	ɕat⁵⁵	ɕat⁵⁵	ɕ a t ⁵⁵
3825	忻城果邃	七	376	ɕɐt⁵⁵	ɕɐt⁵⁵	ɕ ɐ t ⁵⁵
9112	兴宾迁江	七	376	ɕɐt⁵⁵	ɕɐt⁵⁵	ɕ ɐ t ⁵⁵
9113	兴宾寺山	七	376	tɕɐt⁵⁵	tɕɐt⁵⁵	tɕ ɐ t ⁵⁵
9114	桂平石龙	七	376	tɕɐt⁵⁵	tɕɐt⁵⁵	tɕ ɐ t ⁵⁵
9115	港北中里	七	376	tɕɐt⁵⁵	tɕɐt⁵⁵	tɕ ɐ t ⁵⁵
9116	武宣黄茆	七	376	tɕɐt⁵⁵	tɕɐt⁵⁵	tɕ ɐ t ⁵⁵
9117	武宣桐岭	七	376	tɕɐt⁵⁵	tɕɐt⁵⁵	tɕ ɐ t ⁵⁵
9118	象州大乐	七	376	tɕɜt⁵⁵	tɕɜt⁵⁵	tɕ ɜ t ⁵⁵
9119	象州运江	七	376	tsɐt⁵⁵	tsɐt⁵⁵	ts ɐ t ⁵⁵
9120	鹿寨四排	七	376	tsɐt⁵⁵	tsɐt⁵⁵	ts ɐ t ⁵⁵
9121	鹿寨鹿寨	七	376	tsɐt⁵⁵	tsɐt⁵⁵	ts ɐ t ⁵⁵
867	大化岩滩	丈夫*	087	kwaːn⁴²	kwaːn⁴²	k w aː n ⁴²
868	大化流水	丈夫*	087	kwaːn⁴²	kwaːn⁴²	k w aː n ⁴²
869	都安高岭	丈夫*	087	ʔɜi⁴⁴ kwaːn⁵³	ʔɜi⁴⁴+kwaːn⁵³	ʔ ɜi ⁴⁴ + k w aː n ⁵³
870	都安百旺	丈夫*	087	ʔɜi⁵³ laːu²¹⁴	ʔɜi⁵³+laːu²¹⁴	ʔ ɜi ⁵³ + l aːu ²¹⁴
871	上林塘红	丈夫*	087	ʔai⁴⁵ kwaːn⁴⁵³	ʔai⁴⁵+kwaːn⁴⁵³	ʔ ai ⁴⁵ + k w aː n ⁴⁵³
872	上林明亮	丈夫*	087	ʔɛi³³ kwaːn³⁵	ʔɛi³³+kwaːn³⁵	ʔ ɛi ³³ + k w aː n ³⁵
873	马山永州	丈夫*	087	kwaːn²¹⁴	kwaːn²¹⁴	k w aː n ²¹⁴
874	马山白山	丈夫*	087	kwaːn²⁴	kwaːn²⁴	k w aː n ²⁴
875	忻城北更	丈夫*	087	kwaːn⁴⁵³	kwaːn⁴⁵³	k w aː n ⁴⁵³
876	忻城果邃	丈夫*	087	kwaːn⁴⁵³	kwaːn⁴⁵³	k w aː n ⁴⁵³
6126	兴宾迁江	丈夫*	087	kwaːn³⁵³	kwaːn³⁵³	k w aː n ³⁵³
6127	兴宾寺山	丈夫*	087	kwaːn³⁵	kwaːn³⁵	k w aː n ³⁵
6128	桂平石龙	丈夫*	087	pu²¹ kaːn²⁴	pu²¹+kaːn²⁴	p u ²¹ + k aː n ²⁴
6129	港北中里	丈夫*	087	pou²¹kwaːn²⁵	pou²¹kwaːn²⁵	p ou ²¹ k w aː n ²⁵
6130	武宣黄茆	丈夫*	087	kwaːn⁵³	kwaːn⁵³	k w aː n ⁵³
6131	武宣桐岭	丈夫*	087	pɔu²¹kwaːn³⁵	pɔu²¹kwaːn³⁵	p ɔu ²¹ k w aː n ³⁵
6132	象州大乐	丈夫*	087	kwaːn⁵⁴ʔ	kwaːn⁵⁴ʔ	k w aː n ⁵⁴ʔ/⁵⁴
6133	象州运江	丈夫*	087	kɔŋ⁴⁵, kwaːn⁵⁴ʔ	kɔŋ⁴⁵	k ɔ ŋ ⁴⁵
6134	象州运江	丈夫*	087	kɔŋ⁴⁵, kwaːn⁵⁴ʔ	+kwaːn⁵⁴ʔ	k w aː n ⁵⁴ʔ/⁵⁴
6135	鹿寨四排	丈夫*	087	pɐu²¹⁴	pɐu²¹⁴	p ɐu ²¹⁴
6136	鹿寨鹿寨	丈夫*	087	pu²¹⁴	pu²¹⁴	p u ²¹⁴
1009	大化岩滩	三*	101	θaːm⁴²	θaːm⁴²	θ aː m ⁴²
1010	大化流水	三*	101	θaːm⁴²	θaːm⁴²	θ aː m ⁴²
1011	都安高岭	三*	101	θaːm⁵³	θaːm⁵³	θ aː m ⁵³
1012	都安百旺	三*	101	θaːm⁵³	θaːm⁵³	θ aː m ⁵³
1013	上林塘红	三*	101	θaːm⁴⁵³	θaːm⁴⁵³	θ aː m ⁴⁵³
1014	上林明亮	三*	101	ɬaːm³⁵	ɬaːm³⁵	ɬ aː m ³⁵
1015	马山永州	三*	101	θaːm²¹⁴	θaːm²¹⁴	θ aː m ²¹⁴
1016	马山白山	三*	101	θaːm²⁴	θaːm²⁴	θ aː m ²⁴
1017	忻城北更	三*	101	ɬaːm⁴⁵³	ɬaːm⁴⁵³	ɬ aː m ⁴⁵³
1018	忻城果邃	三*	101	θaːm⁴⁵³	θaːm⁴⁵³	θ aː m ⁴⁵³
6275	兴宾迁江	三*	101	sa̪ ːm³⁵³	saːm³⁵³	s aː m ³⁵³
6276	兴宾寺山	三*	101	sɐːm³⁵	sɐːm³⁵	s ɐː m ³⁵
6277	桂平石龙	三*	101	saːm²⁴	saːm²⁴	s aː m ²⁴
6278	港北中里	三*	101	saːm²⁵	saːm²⁵	s aː m ²⁵
6279	武宣黄茆	三*	101	sa̪ ːm⁵³	saːm⁵³	s aː m ⁵³
6280	武宣桐岭	三*	101	sa̪ ːm³⁵	saːm³⁵	s aː m ³⁵
6281	象州大乐	三*	101	sa̪ ːm̥ ⁵⁴ʔ	saːm̥⁵⁴ʔ	s aː m̥ ⁵⁴ʔ/⁵⁴
6282	象州运江	三*	101	θaːm̥ ⁵⁴ʔ	θaːm̥⁵⁴ʔ	θ aː m̥ ⁵⁴ʔ/⁵⁴
6283	鹿寨四排	三*	101	saːm̥ ⁵⁴ʔ	saːm̥⁵⁴ʔ	s aː m̥ ⁵⁴ʔ/⁵⁴
6284	鹿寨鹿寨	三*	101	θaːm⁵⁴ʔ	θaːm⁵⁴ʔ	θ aː m ⁵⁴ʔ/⁵⁴
2831	大化岩滩	下巴	278	haːŋ²³ kaːu⁴⁴	haːŋ²³+kaːu⁴⁴	h aː ŋ ²³ + k aːu ⁴⁴
2832	大化流水	下巴	278	haːŋ²³¹	haːŋ²³¹	h aː ŋ ²³¹
2833	都安高岭	下巴	278	haːŋ²³ pɛ⁴³³	haːŋ²³+pɛ⁴³³	h aː ŋ ²³ + p ɛ ⁴³³
2834	都安百旺	下巴	278	haːŋ²³¹	haːŋ²³¹	h aː ŋ ²³¹
2835	上林塘红	下巴	278	haːŋ²¹ la³⁴³	haːŋ²¹+la³⁴³	h aː ŋ ²¹ + l a ³⁴³
2836	上林明亮	下巴	278	haːŋ³¹ ma³¹	haːŋ³¹+ma³¹	h aː ŋ ³¹ + m a ³¹
2837	马山永州	下巴	278	la³³ haːŋ²¹	la³³+haːŋ²¹	l a ³³ + h aː ŋ ²¹
2838	马山白山	下巴	278	haːŋ³¹, haːŋ²¹ la⁴⁵	haːŋ³¹	h aː ŋ ³¹
2839	马山白山	下巴	278	haːŋ³¹, haːŋ²¹ la⁴⁵	+haːŋ²¹+la⁴⁵	h aː ŋ ²¹ + l a ⁴⁵
2840	忻城北更	下巴	278	la³⁴ haːŋ³²	la³⁴+haːŋ³²	l a ³⁴ + h aː ŋ ³²
2841	忻城果邃	下巴	278	la³⁴ haːŋ²¹	la³⁴+haːŋ²¹	l a ³⁴ + h aː ŋ ²¹
8134	兴宾迁江	下巴	278	haːŋ²³²	haːŋ²³²	h aː ŋ ²³²
8135	兴宾寺山	下巴	278	m̩²² wa⁵³⁴	m̩²²+wa⁵³⁴	n m̩ ²² + w a ⁵³⁴
8136	桂平石龙	下巴	278	ha²¹ pa²¹³,ŋa²¹ pa²¹³	ha²¹+pa²¹³	h a ²¹ + p a ²¹³
8137	桂平石龙	下巴	278	ha²¹ pa²¹³,ŋa²¹ pa²¹³	ŋa²¹+pa²¹³	ŋ a ²¹ + p a ²¹³
8138	港北中里	下巴	278	haːŋ²¹ kaːu⁵⁵	haːŋ²¹+kaːu⁵⁵	h aː ŋ ²¹ + k aːu ⁵⁵
8139	武宣黄茆	下巴	278	hoŋ³¹ kaːu⁴⁵	hoŋ³¹+kaːu⁴⁵	h o ŋ ³¹ + k aːu ⁴⁵
8140	武宣桐岭	下巴	278	n̩²¹ kaːu⁵⁵	n̩²¹+kaːu⁵⁵	n n̩ ²¹ + k aːu ⁵⁵
8141	象州大乐	下巴	278	mɔːm²¹ʔ²	mɔːm²¹ʔ²	m ɔː m ²¹ʔ²/²¹²
8142	象州运江	下巴	278	ha²² pa²³¹	ha²²+pa²³¹	h a ²² + p a ²³¹
8143	鹿寨四排	下巴	278	moːm³²ʔ³	moːm³²ʔ³	m oː m ³²ʔ³/³²³
8144	鹿寨鹿寨	下巴	278	haːŋ²² pa²³¹	haːŋ²²+pa²³¹	h aː ŋ ²² + p a ²³¹
2064	大化岩滩	不*	203	ʔbou⁴⁴	ʔbou⁴⁴	ˀb ou ⁴⁴
2065	大化流水	不*	203	ʔdɯei⁴², ʔbɐu⁴⁴	ʔdɯei⁴²	ˀd ɯ/w ei ⁴²
2066	大化流水	不*	203	ʔdɯei⁴², ʔbɐu⁴⁴	+ʔbɐu⁴⁴	ˀb ɐu ⁴⁴
2067	都安高岭	不*	203	ʔdi⁴³³	ʔdi⁴³³	ˀd i ⁴³³
2068	都安百旺	不*	203	ʔdi⁵³	ʔdi⁵³	ˀd i ⁵³
2069	上林塘红	不*	203	ʔdɯəi⁴⁵³	ʔdɯəi⁴⁵³	ˀd ɯ/w əi ⁴⁵³
2070	上林明亮	不*	203	ʔdi³⁵	ʔdi³⁵	ˀd i ³⁵
2071	马山永州	不*	203	ʔbou⁴⁵	ʔbou⁴⁵	ˀb ou ⁴⁵
2072	马山白山	不*	203	ʔbɔu⁴⁴	ʔbɔu⁴⁴	ˀb ɔu ⁴⁴
2073	忻城北更	不*	203	ʔi⁴⁴	ʔi⁴⁴	ʔ i ⁴⁴
2074	忻城果邃	不*	203	ʔbou³³, ʔdi⁴⁵³	ʔbou³³	ˀb ou ³³
2075	忻城果邃	不*	203	ʔbou³³, ʔdi⁴⁵³	+ʔdi⁴⁵³	ˀd i ⁴⁵³
7353	兴宾迁江	不*	203	ʔbou⁵⁵³	ʔbou⁵⁵³	ˀb ou ⁵⁵³
7354	兴宾寺山	不*	203	ʔdi³⁵	ʔdi³⁵	ˀd i ³⁵
7355	桂平石龙	不*	203	ŋ⁴⁵	ŋ⁴⁵	ŋ ⁴⁵
7356	港北中里	不*	203	ʔdi²⁵	ʔdi²⁵	ˀd i ²⁵
7357	武宣黄茆	不*	203	ʔi⁵³	ʔi⁵³	ʔ i ⁵³
7358	武宣桐岭	不*	203	ʔdi³⁵	ʔdi³⁵	ˀd i ³⁵
7359	象州大乐	不*	203	ʔdi⁵⁴ʔ	ʔdi⁵⁴ʔ	ˀd i ⁵⁴ʔ/⁵⁴
7360	象州运江	不*	203	ʔi⁵⁴ʔ	ʔi⁵⁴ʔ	ʔ i ⁵⁴ʔ/⁵⁴
7361	鹿寨四排	不*	203	ɓou⁴⁵, ɗi⁵⁴ʔ	ɓou⁴⁵	ɓ ou ⁴⁵
7362	鹿寨四排	不*	203	ɓou⁴⁵, ɗi⁵⁴ʔ	+ɗi⁵⁴ʔ	ɗ i ⁵⁴ʔ/⁵⁴
7363	鹿寨鹿寨	不*	203	ʔi⁴⁵	ʔi⁴⁵	ʔ i ⁴⁵
9172	兴宾迁江	两 (+量词)	382	so̪ ɐŋ³⁵³	soɐŋ³⁵³	s oɐ ŋ ³⁵³
9173	兴宾寺山	两 (+量词)	382	sɔəŋ³⁵	sɔəŋ³⁵	s ɔə ŋ ³⁵
9174	桂平石龙	两 (+量词)	382	soɐŋ²⁴	soɐŋ²⁴	s oɐ ŋ ²⁴
9175	港北中里	两 (+量词)	382	soaŋ²⁵	soaŋ²⁵	s oa ŋ ²⁵
9176	武宣黄茆	两 (+量词)	382	sɔ̪ ːŋ⁵³	sɔːŋ⁵³	s ɔː ŋ ⁵³
9177	武宣桐岭	两 (+量词)	382	so̪ ɐŋ³⁵	soɐŋ³⁵	s oɐ ŋ ³⁵
9178	象州大乐	两 (+量词)	382	sɔ̪ ːŋ⁵⁴ʔ	sɔːŋ⁵⁴ʔ	s ɔː ŋ ⁵⁴ʔ/⁵⁴
9179	象州运江	两 (+量词)	382	θɔːŋ⁵⁴ʔ	θɔːŋ⁵⁴ʔ	θ ɔː ŋ ⁵⁴ʔ/⁵⁴
9180	鹿寨四排	两 (+量词)	382	soːŋ⁵⁴ʔ	soːŋ⁵⁴ʔ	s oː ŋ ⁵⁴ʔ/⁵⁴
9181	鹿寨鹿寨	两 (+量词)	382	θɔːŋ⁵⁴ʔ	θɔːŋ⁵⁴ʔ	θ ɔː ŋ ⁵⁴ʔ/⁵⁴
