ID	DOCULECT	CONCEPT	GLOSS_ID	VALUE	FORM	TOKENS
3875	大化岩滩	两(+量词)	382	θɔəŋ⁴²	θɔəŋ⁴²	θ ɔə ŋ ⁴²
3876	大化流水	两(+量词)	382	θɔɜŋ⁴²	θɔɜŋ⁴²	θ ɔɜ ŋ ⁴²
3877	都安高岭	两(+量词)	382	θoɐŋ⁵³	θoɐŋ⁵³	θ oɐ ŋ ⁵³
3878	都安百旺	两(+量词)	382	θɔːŋ⁵³	θɔːŋ⁵³	θ ɔː ŋ ⁵³
3879	上林塘红	两(+量词)	382	θoɜŋ⁴⁵³	θoɜŋ⁴⁵³	θ oɜ ŋ ⁴⁵³
3880	上林明亮	两(+量词)	382	ɬoɜŋ³⁵	ɬoɜŋ³⁵	ɬ oɜ ŋ ³⁵
3881	马山永州	两(+量词)	382	θoːŋ²¹⁴	θoːŋ²¹⁴	θ oː ŋ ²¹⁴
3882	马山白山	两(+量词)	382	θɔːŋ²⁴	θɔːŋ²⁴	θ ɔː ŋ ²⁴
3883	忻城北更	两(+量词)	382	ɬoɜŋ⁴⁵³	ɬoɜŋ⁴⁵³	ɬ oɜ ŋ ⁴⁵³
3884	忻城果邃	两(+量词)	382	θoɐŋ⁴⁵³	θoɐŋ⁴⁵³	θ oɐ ŋ ⁴⁵³
2255	大化岩滩	中午	221	cjɐŋ⁴² ŋɔn²³¹	cjɐŋ⁴²+ŋɔn²³¹	c j ɐ ŋ ⁴² + ŋ ɔ n ²³¹
2256	大化流水	中午	221	pjɔɜŋ²⁴ ŋɔn²³¹	pjɔɜŋ²⁴+ŋɔn²³¹	p j ɔɜ ŋ ²⁴ + ŋ ɔ n ²³¹
2257	都安高岭	中午	221	cɕɜŋ⁵³ ŋɔn²³¹	cɕɜŋ⁵³+ŋɔn²³¹	cɕ/tɕ ɜ ŋ ⁵³ + ŋ ɔ n ²³¹
2258	都安百旺	中午	221	paːn⁵³ ðɪŋ²³¹	paːn⁵³+ðɪŋ²³¹	p aː n ⁵³ + ð ɪ ŋ ²³¹
2259	上林塘红	中午	221	fəɯ³¹ ɣiŋ²¹, faːn⁴⁵³ ɣiŋ²¹	fəɯ³¹+ɣiŋ²¹	f əɯ ³¹ + ɣ i ŋ ²¹
2260	上林塘红	中午	221	fəɯ³¹ ɣiŋ²¹, faːn⁴⁵³ ɣiŋ²¹	+faːn⁴⁵³+ɣiŋ²¹	f aː n ⁴⁵³ + ɣ i ŋ ²¹
2261	上林明亮	中午	221	to³¹ ŋaːi³⁵	to³¹+ŋaːi³⁵	t o ³¹ + ŋ aːi ³⁵
2262	马山永州	中午	221	paːn³³ ŋaːi²¹	paːn³³+ŋaːi²¹	p aː n ³³ + ŋ aːi ²¹
2263	马山白山	中午	221	pɯn⁴⁴ ŋaːi³¹	pɯn⁴⁴+ŋaːi³¹	p ɯ n ⁴⁴ + ŋ aːi ³¹
2264	忻城北更	中午	221	fan⁵⁵ hat⁵⁵	fan⁵⁵+hat⁵⁵	f a n ⁵⁵ + h a t ⁵⁵
2265	忻城果邃	中午	221	fɐn³³ ŋɔn²¹	fɐn³³+ŋɔn²¹	f ɐ n ³³ + ŋ ɔ n ²¹
7546	兴宾迁江	中午	221	kjɐŋ³³ fou⁴²	kjɐŋ³³+fou⁴²	k j ɐ ŋ ³³ + f ou ⁴²
7547	兴宾寺山	中午	221	pɐn³³ ɣəŋ²⁴	pɐn³³+ɣəŋ²⁴	p ɐ n ³³ + ɣ ə ŋ ²⁴
7548	桂平石龙	中午	221	pɐn²² ʔɜm³³	pɐn²²+ʔɜm³³	p ɐ n ²² + ʔ ɜ m ³³
7549	港北中里	中午	221	paːn³² ŋaːi²¹³	paːn³²+ŋaːi²¹³	p aː n ³² + ŋ aːi ²¹³
7550	武宣黄茆	中午	221	ʔbʌn⁵³ ɣɪŋ²³¹	ʔbʌn⁵³+ɣɪŋ²³¹	ˀb ʌ n ⁵³ + ɣ ɪ ŋ ²³¹
7551	武宣桐岭	中午	221	paːn³³ ŋaːi²¹³	paːn³³+ŋaːi²¹³	p aː n ³³ + ŋ aːi ²¹³
7552	象州大乐	中午	221	kɛŋ̙ ⁵³ hɪŋ²³¹	kɛŋ⁵³+hɪŋ²³¹	k ɛ ŋ ⁵³ + h ɪ ŋ ²³¹
7553	象州运江	中午	221	caŋ³³ ʝɤːŋ²³¹, caŋ³³ ŋwɐn²³¹	caŋ³³+ʝɤːŋ²³¹	c a ŋ ³³ + ʝ ɤː ŋ ²³¹
7554	象州运江	中午	221	caŋ³³ ʝɤːŋ²³¹, caŋ³³ ŋwɐn²³¹	+caŋ³³+ŋwɐn²³¹	c a ŋ ³³ + ŋ w ɐ n ²³¹
7555	鹿寨四排	中午	221	cjeŋ³³ hɪŋ²³¹, cjɛŋ³³ ŋwɐn²³¹	cjeŋ³³+hɪŋ²³¹	c j e ŋ ³³ + h ɪ ŋ ²³¹
7556	鹿寨四排	中午	221	cjeŋ³³ hɪŋ²³¹, cjɛŋ³³ ŋwɐn²³¹	+cjɛŋ³³+ŋwɐn²³¹	c j ɛ ŋ ³³ + ŋ w ɐ n ²³¹
7557	鹿寨鹿寨	中午	221	toŋ²² ŋwɐn²³¹, kjaːŋ⁵³ ŋwɐn²³¹, pjoŋ³¹ʔ ŋwɐn²³¹	toŋ²²+ŋwɐn²³¹	t o ŋ ²² + ŋ w ɐ n ²³¹
7558	鹿寨鹿寨	中午	221	toŋ²² ŋwɐn²³¹, kjaːŋ⁵³ ŋwɐn²³¹, pjoŋ³¹ʔ ŋwɐn²³¹	+kjaːŋ⁵³+ŋwɐn²³¹	k j aː ŋ ⁵³ + ŋ w ɐ n ²³¹
