Grapheme	IPA
$	NULL
(ȵɐp⁵⁵)	ȵ ɐ p ⁵⁵
(ɣuːk¹²)	ɣ uː k
****$	NULL
**+	NULL
+	+
+$	NULL
?$	NULL
??$	NULL
^	NULL
^**	NULL
^**+ʔbɯəŋ⁴⁴	ˀb ɯ/w ə ŋ ⁴⁴
^+	NULL
^c	c
^cɕ	cɕ/tɕ
^cʲ	cʲ
^cˠ	cˠ/c
^d	d
^e	e
^eɜu	eɜu/eu
^f	f
^h	h
^iːu	iːu
^j	j
^k	k
^kl	k l
^klea	kˡ ea
^kw	k w
^kɣ	kɣ
^l	l
^lw	l w
^m	m
^m̩	n m̩
^n	n
^n̩	n n̩
^o	o
^oɛi	oɛi/oi
^p	p
^pl	p l
^pð	p/ð
^pˠ	pˠ
^s	s
^t	t
^tc	tɕ
^ts	ts
^tsʰ	tsʰ
^tɕ	tɕ
^u	u
^uɛ	u/w ɛ
^uː	uː
^uːi	uːi
^v	v
^w	w
^wˠ	wˠ
^ç	ç
^ð	ð
^ŋ	ŋ
^ŋw	ŋ w
^ȵ	ȵ
^ɓ	ɓ
^ɕ	ɕ
^ɗ	ɗ
^ɣ	ɣ
^ɬ	ɬ
^ɲ	ɲ
^ɹ	ɹ
^ʋ	ʋ
^ʔ	ʔ
^ʔb	ˀb
^ʔd	ˀd
^ʔm	ˀm
^ʔm̩	ˀm m̩
^ʔn	ˀn
^ʔw	ʔ w
^ʔŋ	ˀŋ
^ʔȵ	ˀȵ
^ʔʝ	ˀʝ
^ʝ	ʝ
^θ	θ
_	+
_̥	NULL
a	a
a$	a
a:	aː
ai	ai
au	au
aɯ	aɯ
aː	aː
aːi	aːi
aːu	aːu
a̪	a̪
b	b
c	c
cɕ	cɕ/tɕ
d	d
e	e
ea	ea
eau	eau/eu
ei	ei
eo	eo
eou	eou/eu
eu	eu
eɐ	eɐ
eə	eə
eɛ	eɛ
eɜ	eɜ
eɜu	eɜu/eu
eɯ	eɯ
eː	eː
eːu	eːu
eː̙	e̙ː
ẽ	ẽ
e̪	e̪
f	f
h	h
hɛ²̘+³¹$	h ɛ ²³¹
i	i
i$	i
i:	iː
i:u	iːu
ia	i/j a
iau	i/j au
ie	i/j e
io	i/j o
iou	i/j ou
iu	i/j u
iɐ	iɐ
iɐu	i/j ɐu
iə	i/j ə
iɜ	i/j ɜ
iɤ	iɤ
iɤi	i/j ɤi
iɯ	i/j ɯ
iː	iː
iːu	iːu
i̙	i̙
i̪	i̪/j
j	j
jeɜu	ji/j eɜu/eu
jiau	ji/j au
jiu	ji/j u
jiə	ji/j ə
juɔ	ju/ɥ ɔ
juɜ	ju/ɥ ɜ
k	k
kl	k l
klea	kˡ ea
kw	k w
kɣ	kx
k̙	k̙/k
l	l
m	m
mw	m w
m̙	m̙/m
m̥	m̥
m̩	m̩
n	n
n$	n
nw	n w
n̈	n̈/n
n̈+	n̈/n
n̙	n̩/n
n̙̥	n̙̥/n
n̥	n̥
o	o
oa	oa
ou	ou
oɐ	oɐ
oə	oə
oɛ	oɛ
oɛi	oɛi/oi
oɜ	oɜ
oɜi	oɜi/oi
oː	oː
oːi	oːi
o̙	o̙/o
o̙ː	oː
o̪	o̪/o
p	p
pl	p l
pð	p/ð
pˠ	pˠ
p̙	p̙
r	r
s	s
suːi	s uːi
t	t
tc	tɕ
ts	ts
tsʰ	tsʰ
tɕ	tɕ
tɕw	tɕ w
tɕʰ	tɕʰ
t̙	t̙/t
u	u
u:	uː
u:i	uːi
ua	u/w a
ue	u/w e
uei	u/w ei
ui	u/w i
uɔ	u/w ɔ
uə	u/w ə
uəi	u/w əi
uɛ	u/w ɛ
uɜ	u/w ɜ
uː	uː
uːi	uːi
u̙	u̙/u
u̪	u̪/u
w	w
wˠ	wˠ/w
y	y
²	²
²$	²
²²	²²
²²$	²²
²³	²³
²³$	²³
²³²$	²³²
²³¹	²³¹
²³¹$	²³¹
²¹	²¹
²¹$	²¹
²¹³	²¹³
²¹³$	²¹³
²¹ʔ²	²¹ʔ²/²¹²
²¹ʔ³	²¹ʔ³/²¹³
²¹⁴	²¹⁴
²¹⁴$	²¹⁴
²̘	²̘
²̙	²̙
²⁴	²⁴
²⁴$	²⁴
²⁵	²⁵
²⁵$	²⁵
³	³
³$	³
³²	³²
³²$	³²
³²³$	³²³
³²ʔ³	³²ʔ³/³²³
³³	³³
³³$	³³
³¹	³¹
³¹$	³¹
³¹ʔ	³¹ʔ/³¹
³¹ʔ¹³	³¹ʔ¹³/³¹³
³⁴	³⁴
³⁴$	³⁴
³⁴³	³⁴³
³⁴³$	³⁴³
³⁴¹	³⁴¹
³⁴¹$	³⁴¹
³⁴⁴	³⁴⁴
³⁴⁴$	³⁴⁴
³⁵	³⁵
³⁵$	³⁵
³⁵³$	³⁵³
³⁵⁵$	³⁵⁵
¹	¹
¹²	¹²
¹²$	¹²
¹³	¹³
¹³$	¹³
¹¹	¹¹
¹¹$	¹¹
¹⁴$	¹⁴
ç	ç
ë	ë/ə
ëi	ëi/əi
ï	ï/i
ð	ð
ŋ	ŋ
ŋ$	ŋ
ŋw	ŋ w
ŋ̙	ŋ̙
ȵ	ȵ
ɐ	ɐ
ɐi	ɐi
ɐu	ɐu
ɐː	ɐː
ɐ̪	ɐ̪/ɐ
ɑ	ɑ
ɑː	ɑː
ɓ	ɓ
ɔ	ɔ
ɔu	ɔu
ɔɐ	ɔɐ
ɔə	ɔə
ɔɜ	ɔɜ
ɔː	ɔː
ɔːi	ɔːi
ɔ̙	ɔ̙/ɔ
ɔ̪	ɔ̪/ɔ
ɕ	ɕ
ɗ	ɗ
ɘ	ɘ
ɘi	ɘi
ɘ̪	ɘ̪/ɘ
ə	ə
əi	əi
əu	əu
əɯ	əɯ
əː	əː
ə̪	ə̪/ə
ɛ	ɛ
ɛ:	ɛː
ɛa	ɛa
ɛau	ɛau/ɛu
ɛi	ɛi
ɛu	ɛu
ɛu̙	ɛu̙/ɛu
ɛï	ɛï/ɛi
ɛə	ɛə
ɛɜ	ɛɜ
ɛɜu	ɛɜu/ɛu
ɛː	ɛː
ɛːi	ɛːi
ɛːu	ɛːu
ɛː̙	ɛ̙ː/ɛː
ɛ̈	ɛ̈/ɛ
ɛ̈i	ɛ̈i/ɛi
ɛ̙	ɛ̙/ɛ
ɛ̙/ɛ	ɛ̙/ɛ
ɛ̙ː	ɛ̙ː/ɛː
ɛ̙ːu	ɛ̙ːu/ɛːu
ɛ̪	ɛ̪
ɜ	ɜ
ɜi	ɜi
ɜu	ɜu
ɜɯ	ɜɯ
ɜ̪	ɜ̪/ɜ
ɣ	ɣ
ɤ	ɤ
ɤi	ɤi
ɤɜ	ɤɜ
ɤː	ɤː
ɤːi	ɤːi
ɪ	ɪ
ɪə	ɪ/j ə
ɪː	ɪː
ɪ̪	ɪ̪
ɬ	ɬ
ɯ	ɯ
ɯa	ɯ/w a
ɯe	ɯ/w e
ɯei	ɯ/w ei
ɯə	ɯ/w ə
ɯəi	ɯ/w əi
ɯː	ɯː
ɯːi	ɯːi
ɯːu	ɯːu
ɯ̪	ɯ̪
ɲ	ɲ
ɹ	ɹ
ʊ	ʊ
ʊə	ʊ/w ə
ʋ	ʋ
ʌ	ʌ
ʌi	ʌi
ʌu	ʌu
ʌ̪u	ʌ̪u/ʌu
ʔ	ʔ
ʔ$	ʔ
ʔb	ˀb
ʔd	ˀd
ʔj	ʔʲ
ʔm	ˀm
ʔm̩	ˀm m̩
ʔn	ˀn
ʔw	ʔ w
ʔŋ	ˀŋ
ʔȵ	ˀȵ
ʔʝ	ˀʝ
ʝ	ʝ
θ	θ
⁴	⁴
⁴$	⁴
⁴²	⁴²
⁴²$	⁴²
⁴²ʔ¹³	⁴²ʔ¹³/⁴²³
⁴³	⁴³
⁴³$	⁴³
⁴³³$	⁴³³
⁴¹	⁴¹
⁴¹$	⁴¹
⁴⁴	⁴⁴
⁴⁴$	⁴⁴
⁴⁵	⁴⁵
⁴⁵$	⁴⁵
⁴⁵³	⁴⁵³
⁴⁵³$	⁴⁵³
⁴⁵⁴	⁴⁵⁴
⁴⁵⁴$	⁴⁵⁴
⁵$	⁵
⁵³	⁵³
⁵³$	⁵³
⁵³⁴$	⁵³⁴
⁵̙	⁵̙
⁵̥	⁵
⁵⁴	⁵⁴
⁵⁴$	⁵⁴
⁵⁴ʔ	⁵⁴ʔ/⁵⁴
⁵⁵	⁵⁵
⁵⁵$	⁵⁵
⁵⁵³	⁵⁵³
⁵⁵³$	⁵⁵³
